tweet_id,author_id,retweet_count,like_count,text,username,id,followers_count
1506355087987421187,1426888887658586125,0,0,"📍Beyaz Saray Sözcüsü Jen Psaki,

 Bu sabah yaptırdığı Kovid-19 testinin 'pozitif' çıktığını ve bu nedenle Avrupa seyahatinde ABD Başkanı Joe Biden'a eşlik edemeyeceğini duyurdu. https://t.co/au0rgGLwDR",Cgultekin34,1426888887658586125,1472
1506355072380329991,1234869494989934592,0,0,"So who the fuck is primarying Joe Manchin and Kristen Sinema? I assume that since they've utterly fucked Biden's entire agenda, the DNC is running challengers to their seats, because they were super serious about passing Biden's agenda, right?",Hexpatriot,1234869494989934592,661
1506355069939240963,47128917,0,0,"@Wikweko @jnolanca @ChuckCallesto This is also the NYT

https://t.co/OWmSN5SwyZ",dianebodine,47128917,960
1506355069536587779,16513416,0,0,"Psaki said she recently had two socially-distant meetings with President Joe Biden, but he is not considered a ""close contact"" and has tested negative. #FOX35 https://t.co/f9NsLrcozb",fox35orlando,16513416,242464
1506355067921780736,1171931909292724224,0,0,@debbiedavis1959 @POTUS did you hear Joe Biden got rushed to the hospital it was tragic he couldn't stop Putin,jormungandr30,1171931909292724224,440
1506355058585309194,1461465664787554311,0,0,"NOWWWWWW THE WOKE ASS LEFT ADMITS HUNTER BIDENS LAP TOP IS FOR REAL😡😡😡😡😡😡😡😡😡😡😡10% TO THE BIG GUY🥹🥹🥹🥹🥹JOE BIDEN
CROOKED JOE BELONGS IN JAIL🐀🦨💩🐀🦨💩",MaryJoDunstan1,1461465664787554311,1
1506355039891243015,22217443,0,0,Joe Biden's SCOTUS Pick Defends Record of Protecting Pedos https://t.co/1i1NYQiuY2 // Strong language but darn true! #SaltMustFlow,cat_1012000,22217443,13107
1506355030781218817,1463957568531931146,0,0,"#Internacionales | La portavoz de la Casa Blanca, Jen Psaki, anunció este martes en su cuenta de Twitter que había dado positivo en la prueba de COVID-19, precisando que el presidente de Estados Unidos, Joe Biden, había dado negativo. https://t.co/PKuFVQo3Yj",Referente_HN,1463957568531931146,5
1506355030084964352,18082466,0,0,White House press secretary Jen Psaki said Tuesday that she has tested positive again for COVID-19 and will not accompany President Joe Biden to Europe for meetings on Russia’s invasion of Ukraine. https://t.co/zvaUpnm4ap,news6wkmg,18082466,143802
1506355028705091589,20076659,0,0,"A coalition of oil and gas trad associations called out Joe Biden for saying oil companies aren't producing more because of greed.

In reality, it's the Biden administration’s anti-energy policies that are responsible. https://t.co/AKZ4IrYh67",theMRC,20076659,234190
1506355028688138240,13265132,1,1,"White House press secretary Jen Psaki has tested positive for COVID-19.

https://t.co/S2kPACq8pP",abc3340,13265132,239984
1506355024347152401,1067145313109053447,0,0,@TheEconomist How come americans don't believe that joe biden lost his mind he thinks that Ukraine  is in Iran. He is a dangerous man not only for the USA but for all the world.,yves43803784,1067145313109053447,532
1506355006315900928,24379266,0,0,@TrumpsBlonde_2 @BookerSparticus And this is the smartest man Joe Biden knows.,JeannineS5,24379266,2173
1506354978100760581,29973860,0,1,@politiolyc @zazzybritches @gojoe_joe @bobbiejaneV @MairScott3 @doug_in_nc @KeepsAtIt @patricia_millin @kristyshl @poppij @tRick_Saltman @RockyMtnView @RegVickers @moriartydg @Ldogls @HondoResists @GDThor1 @Ezim79 @ldog562 @keriRN @62WalterP @ExactlyToo @MFrance923 @Cha51brolll19 @BonJS0370 @HollyHuntley3 @GreatTammie @TilghmanChris @McGeezer70 @OklahomaPatrio1 @CartistNy @BlueSwede2000 @CavasinTracey @BernadetteNTF @impinkestgirl @CirclesSpinning @MarciaBunney @vaato5455 @Helen504 @southpawgram @StaryStaryNlght @sugar1420 @CunningSq16 @yoly54128913 @MusicIsTheory @TJNugent520 Yes ! But that requires Biden reversing all the damage to the visa and refugee system …,bettypge69,29973860,2986
1506354966616760320,1969460372,0,1,"My President, whom I didn’t vote for, Joe Biden, does not inspire confidence when he speaks. He just sounds feeble and shaky. In my opinion, he is not equipped for the job. This was a mistake by 80+ million voters. 😢",BriansCerebrum,1969460372,64
